Rarity,Name,Hero,Series,Type,ATK,HP,RCV,LC,Max Lv.,M.ATK,M.HP,M.RCV,M.LC,Limit,Leader Skill,Skill,Req. Lc,Arte,Ability 1,Ability 1 Description,Ability 2,Ability 2 Description,Ability 3,Ability 3 Description,Ability 4,Ability 4 Description,Skill Type
4,Golem User,Micaldio,Link,Bash,485,852,79,10,70,1390,2864,216,10,4,Boost HP of bash heroes to 1.5x,Deal 7 damage to all enemies,7,3 hits against one foe (84% x3),First Link,Boost ATK by 5% when used to start link,Strength 3,ATK +150,Weapon Boost 4,Boost weapon stats by 10%,,,
3,Journeyman Shooter,Lippy,Link,Shot,252,214,77,3,40,933,861,384,3,4,Boost ATK of heroes on circle/triangle/square to 1.3x,Change star into triangle,25,3 light-type hits against one foe (67% x3),Strength 2,ATK +100,Inspirit Attackers 2,May boost ATK of all heroes by 5%,,,,,
5,Fonic Hymn Master,Tear,Abyss,Spell,516,287,458,12,99,2096,1279,2517,12,4,Boost ATK of bash/spell heroes to 1.6x,Change circle & square to star,40,4 light-type hits against one foe (75% x4),Lucky Healing,May heal 3% of HP,Repair 3,RCV +150,Double Boost 3,Boost weapon and armor stats by 8%,Heal Plus 5,Boost RCV by 13%,
4,Resplendent Warrior,Nitoa,Link,Thrust,315,302,161,6,70,1225,1271,842,6,4,Boost ATK of thrust/shot heroes to 1.4x,Deal a 1.2x-power neutral attack to all foes,15,4 hits against all foes (50% x4),Link Recovery,Boost RCV by 10% in a link of 3+ heroes,Weapon Boost 4,Boost weapon stats by 10%,Inspirit Attackers 2,May boost ATK of all heroes by 5%,,,
4,Upbeat Reporter,Leia,Xillia 2,Bash,485,852,79,2,70,1390,2864,216,2,4,Boost ATK of bash/spell heroes to 1.5x,Change circle into heart,25,5 hits against one foe (50% x5),Lucky Healing,May heal 3% of HP,Pinch Healer,Boost RCV by 20% when at 30% or less HP,Link Recovery 2,Boost RCV by 15% in a link of 4+ heroes,,,
4,Lively Catgirl,Meowna,Link,Slash,472,250,65,4,70,1832,1052,340,4,4,Boost RCV of slash heroes to 1.6x,Restore 40% of HP,35,5 Hits against one foe(50% x5),Lucky Healing,May heal 3% of HP,Armor Boost 2,Boost armor stats by 5%,Repair 4,RCV +200,,,
4,Hired Gun,Alvin,Xillia,Shot,386,328,99,3,90,1500,1380,517,3,4,Boost HP/ATK of thrust/shot heroes to 1.4x,Change circle to square,25,3 hits against one foe(84% x3),Inspirit Attackers 2,May boost ATK of all heroes by 5%,Weapon Boost 3,Boost weapon stats by 8%,Strength 4,ATK +200,,,
3,Scientist,Harold,Destiny 2,Spell,186,123,173,12,60,690,494,866,12,4,Boost HP of thrust/spell heroes to 1.2x,Boost ATK of thrust/spell to 1.2 for 1 turn,40,3 dark-type hits against one foe(70% x3),Overlink 2,Increase LC maximum by 2,Double Boost 2,Boost weapon and armor stats by 5%,,,,,
3,Gale-Force Blade,Kyle,Destiny 2,Slash,302,185,41,4,60,1118,745,206,4,4,Boost ATK of heroes on circle/star to 1.2x,Deal a 6x-power fire attack to one foe,35,2 hits against one foe(120% x2),Link Recovery,Boost RCV by 10% in a link of 3+ heroes,Forcefulness 3,Boost ATK by 8%,,,,,
4,Paladin,Alfas,Link,Bash,485,852,79,10,70,1390,2864,216,10,4,Boost ATK of heroes on cirlce/star to 1.4x,Change square to triangle,25,1 light-type hit against one foe(200% x1),Armor Boost 2,Boost armor stats by 5%,Life Gain 3,Boost HP by 8%,Link Finisher 3,Boost ATK by 8% when finisher of a 4+ link,,,
4,Dark Wings Bandit,Melissa,Link,Shot,348,305,117,3,70,1351,1284,610,3,4,Boost RCV of shot heores to 1.6x,Boost ATK of thrust/shot to 1.4 for 1 turn,45,1 hit against one foe(250% x1),Life Gain 2,Boost HP by 5%,Pinch Healer,Boost RCV by 20% when at 30% or less HP,Water Shield 2,Reduces water damage by 20%,,,
4,Poker Face,Garr,Destiny,Shot,374,285,120,3,70,1454,1202,625,3,4,Boost ATK/RCV of shot/bash heroes to 1.4x,Reduce earth damage by 50% for 3 turns,30,3 hits against one foe (84% x3),Inspirit Attackers,May boost ATK of all heroes by 3%,Weapon Boost 3,Boost weapon stats by 8%,Vitality 4,HP +200,,,
3,Priestess,Remi,Link,Thrust,330,364,232,6,60,947,1226,691,6,4,Boost HP/RCV of thrust heroes to 1.2x,Restore 3000 HP,30,1 light-type hit against one foe (200% x1),Arte Plus,Increases arte trigger rate by 1%,Dark Shield,Reduces dark damage by 10%,,,,,
4,Spirit Channeler,Elize,Xillia,Spell,313,187,265,12,70,1213,786,1380,12,4,Boost ATK/RCV of spell heroes to 1.4x,Change triangle to star,25,4 dark-type hits against one foe (63% x4),First Link,Boost ATK by 5% when used to start link,Link Boost 2,Increases starting value of link gauge by 2,Pinch Healer 2,Boost RCV by 25% when at 30% or less HP,,,
5,Swordswoman,Rondoline,Phantasia,Slash,,,,4,,3132,1941,655,4,4,"Boost HP of all heroes to 1.2x, ATK to 1.8x",Boost square/star ATK to 1.8x for two turns,30,,Strength 2,ATK +100,Double Boost 2,Boost weapon and armor stats by 5%,Inspirit Attackers 4,May boost ATK of all heroes by 10%?,Pinch Attacker 3,Boost ATK by 25% when at 30% or less HP,
5,Multiwarrior,Cress,Phantasia,Bash,,,,,,2187,4284,227,,,Boost ATK of thrust/bash heroes to 1.8x,Change square/triangle/circle to star,50,,,,,,,,,,
5,Master of Space-Time,Cress,Phantasia,Bash,557,963,33,15,99,2167,4095,174,15,4,Boost ATK for 3rd+ heroes in a link to 1.6x,Boost circle/star ATK to 1.7x for two turns,30,3 light-type hits against one foe (100% x3),Earth Shield,Reduces earth damage by 10%,Vitality 3,HP +150,Double Boost 3,Boost weapon and armor stats by 8%,Strength 5,ATK +250,
5,Goddess of Victory,Leia,Xillia 2,Thrust,,,,,,2088,2462,1217,,,Boost ATK to 2x when under 50% HP,Boost square/circle ATK to 2x,25,8 hits against one foe (38% x8),First Link 2,Boost ATK by 10% when used to start link,Inspirit Attackers 3,May boost ATK of all heroes by 8%,Life Gain 4,Boost HP by 10%,Goddess of Victory,Boost ATK by 20% when at 50% or less HP.,
5,Sword of Swords,Luke,Abyss,Slash,835,506,106,4,99,3251,2154,562,4,4,Boost HP/ATK of slash/spell heroes to 1.5x,Change triangle/star to square,40,5 hits against one foe (60% x5),Vitality 2,HP +100,Strength 3,ATK +150,Link Finisher 4,Boost ATK by 10% when finisher of a 4+ link,Overlink 5,Increases LC maximum by 5,Tile Change
4,Minstrel,Claudio,Link,Spell,426,284,496,12,70,1222,955,1361,12,4,Boost HP/RCV of spell heroes to 1.4x,Reduce wind damage by 50% for 3 turns,30,2 water-type hits against one foe (125% x2),First Link,Boost ATK by 5% when used to start link,Link Recovery 2,Boost RCV by 15% in a link of 4+ heroes,Repair 4,RCV +200,,,
4,Elusive Middle-Ager,Raven,Vesperia,Shot,449,516,292,6,70,1287,1736,1593,6,4,Boost HP/ATK of thrust/shot heroes to 1.4x,Change triangle to heart,25,2 wind-type hits against one foe (125% x2),First Link,Boost ATK by 5% when used to start link,Forcefulness 3,Boost ATK by 8%,Crisis Attacker 2,Boost ATK by 40% when at 10% or less HP,,,
4,Enlightened Butler,Rowen,Xillia 2,Spell,337,225,250,12,70,1307,943,1300,12,4,Increase LP rewards by 1.2x,Give an aura to one of your present characters,25,3 hits against all foes (67% x3),First Link,Boost ATK by 5% when used to start link,Double Boost 2,Boost weapon and armor stats by 5%,Link Finisher 3,Boost ATK by 8% when finisher of a 4+ link,,,
4,Compassionate Flower,Lyra,Link,Thrust,449,516,292,6,70,1287,1736,801,6,4,Boost RCV of thrust/shot heroes to 1.5x,Change circle & square into heart,35,3 hits against one foe (84% x3),Strength 2,ATK +100,Arte Plus,Increases arte trigger rate by 1%,Forcefulness 4,Boost ATK by 10%,,,
4,Blossom Blitzer,Kohaku,Hearts,Bash,343,551,48,10,70,1330,2314,250,10,4,Boost HP/RCV of bash/spell heroes to 1.4x,Restore 5000 HP,35,7 fire-type hits against one foe (36% x7),Vitality 2,HP +100,Repair 3,RCV +150,Double Boost 3,Boost weapon and armor stats by 8%,,,
4,Fiery Charge,Lilith,Destiny,,,,,,,,,,,,,,,,,,,,,,,,
4,Chosen,Colette,Symphonia,Spell,426,284,496,12,70,1222,955,1361,12,4,Boost ATK/RCV of spell heroes to 1.4x,Boost circle/square ATK to 1.4x for 2 turns,30,3 light-type hits against one foe (67% x3),Overlink 2,Increase LC maximum by 2,First Link 2,Boost ATK by 10% when used to start link,Quick Drain 3,May heal 3% of damage dealt,,,
4,Priestess,Mint,Phantasia,Spell,426,284,496,12,70,1222,955,1361,12,4,Boost HP/RCV of shot/spell heroes to 1.3x,Change circle/triangle to heart,45,1 hit against one foe (250% x1),Repair 2,RCV +100,First Link 2,Boost ATK by 10% when used to start link,Pinch Healer 2,Boost RCV by 25% when at 30% or less HP,,,
5,Masked Swordsman,Judas,Destiny 2,Slash,,,,,,,,,,,,"Change circle, triangle & square into star",45,(70% x5),Strength 3,ATK +150,Vitality 4,HP +200,Forcefulness 5,Boost ATK by 13%,Link Boost 2,Increases starting value of link gauge by 2,
5,The Rose Prince,Richard,Graces,Slash,759,423,132,4,99,2955,1799,695,4,4,Boost HP/ATK of slash/thrust heroes to 1.5x,"Change triangle, star into square",40,5 hits against all foes(70% x5),First Link,Boost ATK by 5% when used to start link,Weapon Boost 3,Boost weapon stats by 8%,Pinch Attacker 2,Boost ATK by 20% when at 30% or less HP,Strength 5,ATK +250,Tile Change
4,Anti-Nonsense,Rita,Vesperia,Spell,,,,,,,,,,,,Change circle into star,25,4 earth-based attacks (50% x4),Lucky Healing,May heal 3% of HP,Heal Plus 4,Boost RCV by 10%,Link Finisher 2,Boost ATK by 5% when finisher of a 4+ link,,,
5,Lord of Blades,Kratos,Symphonia,Spell,,,,12,99,,,,12,4,Boost ATK of slash/spell heroes to 1.8x,Boost ATK of spell/slash to 1.7x for 2 turns,40,7 light-based attacks against one foe (43% x7),Vitality 2,HP +100,Earth Shield,Reduces earth damage by 10%,Light Shield 2,Reduces light damage by 20%,Desperation Healer 2,Boost ATK by 200% when at 2% or less HP,
5,Lord of Lhant,Asbel,Graces,Slash,,,,4,99,,,,,4,Boost ATK to 1.8x when at 50%+ HP,Change square & star into heart,35,Damage and delay one foe (300% x1),Strength 2,ATK +100,Lucky Healing 2,May heal 5% of HP,Forcefulness 4,Boost ATK by 10%,Weapon Boost 5,Boost weapon stats by 12%,
5,Oathsworn Swordsman,Lloyd,Symphonia,Slash,840,429,157,4,99,3270,1823,829,4,,Boost HP/ATK/RCV of slash type to 1.4x ,Boost circle & square ATK to 2.0x for 1 turn,25,4 hits against all foes (88% x4),Strength 2,ATK +100,Weapon Boost 3,Boost weapon stats by 8%,Arte Plus 5,Increases arte trigger rate by 5%,Strength 5,ATK +250,
6,Man Who Stands by God,Dhaos,Phantasia,Shot,,,,,,3575,4888,1897,,,Reduce damage by 80% when at 100% HP,Block all attacks for 1 turn,30,,,,,,,,,,
3,Super-Plated,Metal-Domio,Link,Slash,250,158,48,4,60,891,591,223,4,4,N/A,Deal a 3-x power dark attack to one foe,35,1 hit against one foe (155% x1),Lucky Healing,May heal 3% of HP,First Link,Boost ATK by 5% when used to start link,,,,,ATK boost
3,Hero,Cress,Phantasia,Bash,364,640,59,2,60,1044,2153,176,2,4,Boost ATK of bash/spell heroes to 1.2x,Change square into triangle,30,4 hits against one foe (50% x4),Vitality 2,HP +100,Strength 2,ATK +100,,,,,
4,Fencer,Cress,Phantasia,Bash,301,334,185,2,70,1168,1407,965,2,4,Boost ATK of bash/spell heroes to 1.4x,Change square into triangle,25,4 hits against one foe (63% x4),Vitality 2,HP +100,Forcefulness 3,Boost ATK by 8%,Link Finisher 3,Boost ATK by 8% when finisher of a 4+ link,,,
4,Manly Man,Metal-Gitz,Link,Slash,255,161,49,4,70,944,650,245,4,4,N/A,Deal a 5x-power dark attack to one foe,35,1 hit against one foe (175% x1),Overlink 2,Increase LC maximum by 2,Link Recovery 2,Boost RCV by 15% in a link of 4+ heroes,Lucky Healing 2,May heal 5% of HP,,,
5,Shining Beauty,Metal-Natey,Link,Bash,289,530,7,2,99,1101,2152,37,2,4,N/A,Deal a 6x-power dark attack to one foe,35,1 hit against one foe (195% x1),Heal Plus 2,Boost RCV by 5%,Double Boost 2,Boost weapon and armor stats by 5%,Strength 5,ATK +250,Lucky Healing 4,May heal 15% of HP,
5,Hot-blooded Punk,Stahn,Destiny,Thrust,,,,,99,,,,,,Boost HP/ATK of thrust/slash heroes to 1.6x,Reduce enemy's current HP by 30%,30,6 fire-type hits against one foe(50% x6),Vitality 2,HP +100,Strength 3,ATK +150,Weapon Boost 4,Boost weapon stats by 10%,Life Gain 5,Boost HP by 13%,
5,Fall Flowers,Kanonno G.,Radiant Mythology,Slash,,,,,,3448,1941,575,,,Boost ATK of slash/spell heroes to 1.8x,Boost circle/square ATK to 2x,25,,,,,,,,,,
5,Summer Sun,Kanonno E.,Radiant Mythology,Slash,794,467,117,4,99,3093,1988,615,,,Boost ATK of slash/spell heroes to 1.8x,Change circle/triangle/star into square,45,,,,,,,,,,
5,Memory Seeker,P. Kanonno,Radiant Mythology,Slash,865,406,147,4,99,3369,1728,776,4,4,Boost ATK of slash/spell heroes to 1.8x,Change triangle/star into heart,30,,Link Finisher 2,Boost ATK by 5% when finisher of a 4+ link,Double Boost 2,Boost weapon and armor stats by 5%,Strength 4,ATK +200,Strength 5,ATK +250,
4,Lumberjill,Presea,Symphonia,Bash,485,852,79,10,70,1390,2864,216,10,4,Boost HP/RCV of bash/spell heroes to 1.4x,Deal a 1.2x-power neutral attack to all foes,15,3 hits against one foe (84% x3),Forcefulness 2,Boost ATK by 5%,Crisis Attacker,Boost ATK by 30% when at 10% or less HP,Strength 4,ATK +200,,,
4,Rain Maiden,Annie,Rebirth,Spell,426,284,496,12,70,1222,955,1361,12,4,Boost RCV of bash/spell heores to1.4x,Reduce fire damage by 40% for 3 turns,25,Restore 50% of damage dealt as HP(200% x1),Quick Drain 3,May heal 3% of damage dealt,Repair 3,RCV +150,Fire Shield 2,Reduces fire damage by 20%,,,
4,Greater Craymel,Celsius,Eternia,Bash,485,852,79,10,70,1390,2864,216,10,4,Boost ATK of shot/bash heroes to 1.4x,Reduce fire damage by 50% for 3 turns,30,3 water-type hits against one foe (84% x3),Lucky Healing,May heal 3% of HP,Inspirit Attackers 2,May boost ATK of all heroes by 5%,Strength 4,ATK +200,,,
3,Pure Maiden,Mint,Phantasia,Spell,192,124,175,12,40,709,498,870,12,4,Boost RCV of bash/spell heroes to 1.3x,Change circle into star,30,1 hit against one foe (200% x1),Quick Drain,May heal 1% of damage dealt,Repair 3,RCV +150,,,,,
4,Mage,Rita,Vesperia,Spell,426,284,496,12,70,1222,955,1361,12,4,Boost ATK of slash/bash/spell heroes to 1.4x,Change triangle into star,25,3 dark-type hits against all foes (100%x2) [sic],Heal Plus 2,Boost RCV by 5%,Link Finisher 2,Boost ATK by 5% when finisher of a 4+ link,Strength 4,ATK +200,,,
4,Entreater of Peace,Mint,Phantasia,Spell,288,187,264,12,80,1118,786,1372,12,6,Boost RCV of bash/spell heroes to 1.6x,Change circle and square into star,45,1 hit against 1 foe (250% x 1),Armor Boost 2,Boost armor stats by 5%,Quick Drain 2,May heal 2% of damage dealt,Repair 4,RCV +200,,,
5,Arcane Inheritor,Cress,Phantasia,Bash,516,573,317,2,99,2009,2438,1672,2,4,Boost ATK of bash/spell heroes to 1.7x,Change square and star into triangle,35,6 hits against 1 foe (50% x 6),Vitality 2,HP +100,Weapon Boost 3,Boost weapon stats by 8%,Forcefulness 4,Boost ATK by 10%,Link Finisher 5,Boost ATK by 15% when finisher of a 4+ link,
4,Fostered Dragon,Lilith,Destiny,Bash,485,852,79,10,,,,,10,4,Boost HP of thrust/bash heroes to 1.4x,Restore 4000 HP,35,1 hit against one foe(250% x1),Life & Attack 2,HP/ATK +150,Weapon Boost 2,Boost weapon stats by 5%,Light Shield,Reduces light damage by 10%,Link Recovery 3,Boost RCV by 20% in a link of 4+ heroes,
4,Elegant Swordsman,Zelos,Symphonia,Slash,673,387,146,4,70,1930,1303,400,4,4,Boost HP/ATK of slash/shot heroes to 1.4x,Prevent frozen for 3 turns.,15,3 hits against one foe (84% x3),First Link,Boost ATK by 5% when used to start link,Strength 3,ATK +150,Pinch Attacker 2,Boost ATK by 20% when at 30% or less HP,,,
5,Grand Mage,Rita,Vesperia,Spell,,,,,,,,,,,,,,,,,,,,,,,
5,Craymel Master,Keele,Eternia,Bash,,,,,,2187,4071,227,,4,"Boost HP of bash/spell heroes to 0.9x, ATK to 1.8x",Boost star ATK to 2x for 1 turn,30,,,,,,,,,,
5,Eternal Chick,Norma,Legendia,Shot,612,529,195,3,99,2384,2249,1030,3,4,"Boost HP of shot heroes to 1.2x, ATK to 1.8x",Change circle/triangle/square to star,45,4 hits against 1 foe (75% x4),Adventuring Knowledge,Occasionally heals 5% of HP,Inspirit Attackers 2,May boost ATK of all heroes by 5%,Double Boost 3,Boost weapon and armor stats by 8%,Strength 5,ATK +250,Tile Change
5,Lovely Chanter,Tear,Abyss,Spell,,,,,,2088,1254,2421,,,Boost HP/ATK of bash/spell heroes to 1.6x,Change circle/star to heart,30,,,,,,,,,,
5,Last Swordsman,Luke,Abyss,Thrust,,,,,,2088,2509,1311,,,"Boost HP of thrust heroes to 1.2x, ATK to 1.8x",Boost star ATK to 1.6x for 1 turn,15,,,,,,,,,,
5,Royal Escort,Guy,Abyss,Thrust,536,623,215,6,99,2088,2651,1137,6,4,"Boost HP of slash/thrust heroes to 0.9x, Atk to 1.8x",Boost ATK of slash/thurst to 2x for 1 turn,25,3 wind-type hits against all foes (100% x3),Link Boost,Increases starting value of link gauge by 1,Crisis Attacker,Boost ATK by 30% when at 10% or less HP,Forcefulness 4,Boost ATK by 10%,Weapon Boost 5,Boost weapon stats by 12%,ATK boost type 2
3,Skilled Swordsman,Cress,Phantasia,Bash,218,373,28,2,40,806,1495,138,2,4,Boost ATK of bash/spell heroes to 1.3x,Boost star ATK to 1.4x for 1 turn,25,2 hits against one foe (100% x2),Inspirit Attackers,May boost ATK of all heroes by 3%,Strength 3,ATK +150,,,,,
5,Righteous Blade,Flynn,Vesperia,Slash,,,,,,2874,1952,601,,,Boost ATK/RCV of slash/bash to 1.5x,Boost ATK of circle/square to 1.7x,25,,,,,,,,,,
5,Noble Princess,Estelle,Vesperia,Spell,,,,,,2266,1231,2501,,,Boost RCV of spell/bash heroes to 1.8,Restore 70% of HP,30,,,,,,,,,,
3,Martial Artist,Gash,Link,Bash,350,667,53,8,60,1005,2244,157,8,4,Boost ATK of heroes on circle/triangle to 1.2x,Boost ATK of thrust/bash to 1.2x for 1 turn,40,6 hits against one foe (40% x6),Inspirit Attackers,May boost ATK of all heroes by 3%,Link Recovery 2,Boost RCV by 15% in a link of 4+ heroes,,,,,
5,Necromancer,Jade,Abyss,Thrust,,,,12,,2266,2391,1097,12,,"Boost HP of thrust heroes to 0.9x, ATK to 1.8x",Change triangle/square into heart,45,,,,,,,,,,
5,Locrian Sergeant,Tear,Abyss,Shot,,,,,,2364,2556,963,,,"Boost HP of shot heroes to 1.2x, ATK to 1.8x",Change triangle/square/star into circle,50,,,,,,,,,,
5,Amazing Entrance,Guy,Abyss,Slash,, ,,,,3152,1823,709,,,"Boost RCV of slash heroes to 0.5x, ATK to 2x",Boost square/triangle ATK to 2x for 1 turn,,,,,,,,,,,
5,The Bloody Maestro,Asch,Abyss,Spell,,,,,,1832,1609,2340,,,Boost ATK of slash/thrust/spell to 1.6x,Boost start ATK to 2x for 2 turns,,,,,,,,,,,
3,Historian,Mikana,Link,Spell,364,244,384,12,60,1044,1139,818,12,4,Boost HP of shot/spell heroes to 1.2x,Boost triange/star ATK to 1.2x for 2 turns,,3 earth-type hits against one foe (70% x3),Armor Boost 2,Boost armor stats by 5%,Strength 3,ATK +150,,,,,
3,Shield of the Oracle,Tear,Abyss,Spell,320,213,373,12,60,918,718,1109,12,4,Boost ATK of shot/spell heroes to 1.2x,Change star to circle,30,2 light-type hits against one foe (100% x2),Armor Boost 2,Boost armor stats by 5%,Strength 3,ATK +150,,,,,
5,Flash Maiden,Cheria,Graces,Spell,592,362,426,12,99,2305,1538,2247,12,4,Boost ATK of shot/bash/spell heroes to 1.6x,Change circle/square to triangle,35,1 light-type hits against all foes (300% x1),Repair 2,RCV +100,Lucky Healing 2,May heal 5% of HP,Link Finisher 4,Boost ATK by 10% when finisher of a 4+ link,Weapon Boost 6,Boost weapon stats by 15%,
4,Cool Beauty,Tear,Abyss,Spell,345,360,151,12,70,1339,1516,788,12,4,Boost ATK of shot/spell heroes to 1.4x,Change star to circle,25,2 light-type hits against one foe (125% x2),Repair 2,RCV +100,Weapon Boost 3,Boost weapon stats by 8%,Link Finisher 3,Boost ATK by 8% when finisher of a 4+ link,,,
5,Melodic Healer,Tear,Abyss,Spell,592,618,259,12,99,1606,1807,913,12,4,Boost ATK of shot/spell heroes to 1.7x,Change Triangle/Star to Circle,35,3 earth-type hits against one foe (100% x3),Strength 2,ATK +100,Repair 3,RCV +150,Double Boost 3,Boost weapon and armor stats by 8%,Link Finisher 5,Boost ATK by 15% when finisher of a 4+ link,
3,Fursuit,Marurun,Link,Bash,378,699,69,8,60,1084,2346,205,8,4,Increases gald rewards by 1.1x,Deal a 6x-power water attack to one foe,35,4 hits against one foe (50% x4),Pinch Healer,Boost RCV by 20% when at 30% or less HP,Life Gain 3,Boost HP by 8%,,,,,
4,The Invisible Hand,Rutee,Destiny,Thrust,449,516,292,6,70,1287,1736,801,6,4,Boost ATK of thrust heroes to 1.6x,Change circle/triangle into heart,35,4 hits against one foe (63% x4),Quick Drain 3,May heal 3% of damage dealt,Armor Boost 3,Boost armor stats by 8%,Repair 4,RCV +200,,,
5,Bride in White,Sara,Link,Bash,562,963,15,2,99,2187,4095,80,2,4,"All heroes HP to 0.9x, ATK to 1.6x","Restore 10,000 HP",10,Restore 50% of damage dealt as HP (250% x1),Bride in White,"When attacked, 5% chance of 100% damage reduction",Pinch Healer,Boost RCV by 20% when at 30% or less HP,Forcefulness 4,Boost ATK by 10%,Heal Plus 5,Boost RCV by 13%,
5,Like a Dream,Kanonno G.,Radiant Mythology,Spell,491,378,439,12,99,1911,1609,2314,12,4,Boost ATK to 2.0x when at 50%+ HP,Give an aura to one of your present characters,10,Restore 50% of damage dealt as HP (250% x1),Like a Dream,#N/A,,,,,,,
5,Eternal Vow ,P. Kanonno,Radiant Mythology,Slash,784,417,139,4,99,3054,1775,736,4,4,Boost ATK of slash/spell heroes to 1.8x,Boost ATK of slash/spell to 2.0x for 1 turn,25,Restore 50% of damage dealt as HP (250% x1),,,,,,,,,
5,Bright Future,Kanonno E.,Radiant Mythology,Thrust,521,584,233,6,99,2029,2485,1230,6,4,"Boost HP of thrust heroes to 1.2x, ATK tp 1.6x",Change all markers to circle,45,Restore 50% of damage dealt as HP (250% x1),Bright Future,Increases aura appearance rate by 5%,Strength 3,ATK +150,Life Gain 4,Boost HP by 10%,Forcefulness 5,Boost ATK by 13%,
4,Survivor,Chester,Phantasia,Shot,561,490,219,3,70,1609,1649,601,3,4,Boost ATK of slash/thrust/shot heroes to 1.4x,Boost star ATK to 1.6x for 1 turn,30,3 hits against one foe (84% x3),Weapon Boost 2,Boost weapon stats by 5%,Strength 3,ATK +150,Link Finisher 3,Boost ATK by 8% when finisher of a 4+ link,,,
4,Golden Knight,Guy,Abyss,Slash,455,255,78,4,80,1766,1071,404,4,6,Boost ATK of slash heroes to 1.6x,Boost circle & triangle ATK to 1.4x for 2 turns,30,5 hits against one foe (50% x5),Weapon Boost 2,Boost weapon stats by 5%,Strength 3,ATK +150,Water Shield 2,Reduces water damage by 20%,,,
4,Dark Lion,Yuri,Vesperia,Thrust,303,340,155,6,80,1177,1428,807,6,6,Boost ATK of slash/thrust heroes to 1.5x,Change circle & square into triangle,45,4 water-type hits against one foe (63% x4),Link Finisher,Boost ATK by 3% when finisher of a 4+ link,Double Boost 2,Boost weapon and armor stats by 5%,Desperation Healer,Boost ATK by 150% when at 2% or less HP,,,
3,Downtown Swordmaster,Yuri,Vesperia,Thrust,202,226,103,6,40,747,906,512,6,4,Boost ATK of slash/thrust heroes to 1.2x,Change circle into square,30,3 hits against one foe (67% x3),Double Boost,Boost weapon and armor stats by 3%,Forcefulness 3,Boost ATK by 8%,,,,,
3,Guardian,Guy,Abyss,Slash,302,169,51,4,40,1120,680,256,4,4,Boost ATK of heroes on circle/triangle to 1.2x,Change square into triangle,30,5 hits against one foe (40% x5),Heal Plus 2,Boost RCV by 5%,Water Shield,Reduces water damage by 10%,,,,,
4,Fervent Swordsman,Kor,Hearts,Slash,673,387,146,4,70,1930,1302,400,4,4,Boost ATK to 1.6x when at 50%+ HP,Boost ATK of slash to 1.6x for 1 turn,25,2 hits against one foe (125% x5),Strength 2,ATK +100,Lucky Healing 2,May heal 5% of HP,Life Gain 4,Boost HP by 10%,,,
5,Well Armed Mercenary,Alvin,Xillia,Shot,643,534,195,3,99,2502,2272,1030,3,4,Boost ATK of shot/spell heroes to 1.8x,"Change Circle, Triangle, and Square into Star",45,3 wind-type hits against one foe (100% x3),Armor Boost 2,Boost armor stats by 5%,Strength 3,ATK +150,Life Gain 4,Boost HP by 10%,Vitality 5,HP +250,
5,Funeral Tome,Mikana,Link,Spell,,,,,,,,,,,,,,6 dark-type hits against one foe (50% x6),Link Finisher 2,Boost ATK by 5% when finisher of a 4+ link,Link Recovery,Boost RCV by 10% in a link of 3+ heroes,Forcefulness 4,Boost ATK by 10%,Armor Boost 5,#N/A,
5,Enlighted Healer,Cheria,Graces,Shot,638,584,205,3,99,2482,2485,1083,3,4,Boost ATK of thrust/shot heroes to 1.6x,Change Circle and Square into Triangle,40,1 hit against 1 foe (300% x1),First Link 2,Boost ATK by 10% when used to start link,Vitality 3,HP +150,Armor Boost 4,Boost armor stats by 10%,First Link 5,#N/A,
4,Sword Master,Cress,Phantasia,Slash,624,754,641,4,80,1500,2056,1542,4,4,Boost ATK of slash/thrust heroes to 1.4x,Change star to triangle,30,7 hits against one foe (36% x7),Weapon Boost 2,Boost weapon stats by 5%,Vitality 3,HP +150,Sword Master,Boost ATK by 25% when used to start link,,,
4,Multiple Fighter,Cress,Phantasia,Slash,624,754,641,4,80,1500,2056,1542,4,4,Boost ATK of slash/thrust heroes to 1.4x,Change star to triangle,30,5 hits against one foe (50% x5),Weapon Boost 2,Boost weapon stats by 5%,Vitality 3,HP +150,Multiple Fighter,Boost ATK by 25% when used to start link,,,
4,Swordian Bearer,Stahn,Destiny,Thrust,618,775,628,6,80,1498,2187,1509,6,4,Boost ATK of slash/thrust heroes to 1.4x,Change square to triangle,30,6 hits against one foe (50% x5),Inspirit Attackers 2,May boost ATK of all heroes by 5%,Strength 3,ATK +150,Swordian Bearer,Boost ATK by 25% when used to start link,,,
4,Blazing Champion,Stahn,Destiny,Thrust,618,775,628,6,80,1498,2187,1509,6,4,Boost ATK of slash/thrust heroes to 1.4x,Change square to triangle,30,5 hits against one foe (50% x5),Inspirit Attackers 2,May boost ATK of all heroes by 5%,Strength 3,ATK +150,Blazing Champion,Boost ATK by 25% when used to start link,,,
4,Duty Fulfiller,Milla,Xillia,Spell,686,668,655,12,80,1650,1883,1574,12,4,Boost HP/ATK of all heroes to 1.3x,Change triangle to star,25,5 hits against one foe (50% x5),Vitality 2,HP +100,Weapon Boost 3,Boost weapon stats by 8%,Strength 4,ATK +200,,,
